Author,Date,Region,Sentence,Target
Filippo da Santa Croce,1323,tosc.,"Sappiate veramente, che se noi non ci fossimo sì affrettati del fuggire, noi saremmo tutti morti.","Sappiate davvero che, se non ci fossimo affrettati a fuggire, saremmo tutti morti."
Deca quarta,1346,fior.,"Tarco cretense che in aiuto era alli nimici avrebbe potuto fuggire, ma la vergogna d'abbandonare li nobilissimi cavalieri della gente achea poco avanti da lui","Tarco il cretese, che si era schierato a fianco dei nemici, avrebbe potuto fuggire, ma non lo fece per vergogna di abbandonare i nobilissimi cavalieri achei che lo precedevano di poco."
Giovanni da San Miniato,1415,tosc.,colui che ancora non sa amare il prossimo come sé medesimo già cominci a temere i giudicii di Dio.,"Chi ancora non sa amare il prossimo come se stesso, cominci a temere i giudizi di Dio."
Arte Am. Ovid. (B),1310/13,fior.,"L'ucello, poi che hae impaniate le ali, non fugge salvamente, né llo porco salvatico esce bene delle reti ove cade.","L’uccello, una volta impigliate le ali, non può più fuggire liberamente, né il cinghiale selvatico si libera facilmente dalle reti in cui è caduto."
Cavalca,1308,tosc.,"Io gli apersi, e quelli fuggitte. E che bisogno è, che lo cuore tuo stia chiuso al tuo sposo Cristo?","Io li liberai, ed essi fuggirono. E perché mai il tuo cuore dovrebbe restare chiuso al tuo sposo, Cristo?"
Prima catilinaria volg. (red. A),1294,fior.,"E dunque, da che queste cose son così, Catellina, e tu non puoi buonamente qui dimorare, dubiti tu d'andartene in alcuna terra ed usare questa vita fuggendo per li diserti","E dunque, poiché le cose stanno così, Catilina, e tu non puoi più restare qui onestamente, esiti forse ad andartene in qualche terra lontana e condurre questa tua vita fuggendo nei luoghi più remoti?"
Chiose a Valerio Massimo (D - L. I-V),1346,tosc.,"Questi due, volendo contra la voglia del senato dimorare ne l'ufficio del tribunato, furono morti da la plebe, incitandola i padri coscritti.","Questi due, volendo restare nel loro incarico di tribuni contro la volontà del senato, furono uccisi dal popolo, incoraggiato dai senatori."
Bono Giamboni,1292,fior.,"i giovani, a cui il difendimento delle provincie, e la ventura di tutta la battaglia si commette","I giovani, ai quali è affidata la difesa delle province e la sorte dell’intera battaglia."
Bono Giamboni,1292,fior.,"da' monti de' Romani si feciero nuovi nemici; contra i quali è conbactuto cum diversa ventura: perké nela primaia battaglia, essendo consolo Valerio, MMMD ne moriro de' Romani;","Dai monti dei Romani arrivarono nuovi nemici, contro i quali si combatté con esiti alterni: poiché nella prima battaglia, mentre Valerio era console, tremilacinquecento Romani vi trovarono la morte."
Fatti de' Romani (H+R),1313,fior.,"noi iscaciati e dipartiti per debito dela cittade, e tutti iscaciati da fama e da ventura buona.","Noi, cacciati e costretti ad allontanarci per volere della città, fummo tutti esiliati dalla gloria e dalla buona sorte."
Simintendi,1333,tosc.,pregaste gli dei per me; e' vostri preghieri valsono: e se voi domandate chi ebbe ventura di questa battaglia; io non fui vinto da colui.,"Pregaste gli dèi per me, e le vostre preghiere furono efficaci; e se chiedete chi ebbe fortuna in questa battaglia, sappiate che non fui io a essere sconfitto da lui."
Valerio Massimo (red. V1,1336,fior.,"una villa chiamata Vitermina, con ciò fosse cosa che piusori principi di scherani corressero per ventura a quel tempo a vederlo, Scipione, stimando che venissero per isforzarlo, allogò ne la casa","In una villa chiamata Vitermina, poiché diversi capi di scherani si trovavano per caso lì in quel periodo per vederlo, Scipione, temendo che fossero venuti per costringerlo, si rifugiò nella casa."
Brunetto Latini,1260-61,fior.,contra lui e contra le sue sorelle  e contra il reame e contra l' alto pregio della sua ingenerazione e della sua familia,"Contro di lui, contro le sue sorelle, contro il regno e contro l’alto onore della sua stirpe e della sua famiglia."
Fatti de' Romani (H+R),1313,fior.,"Allora che il navilio si fue impinto e messo in alto mare per andare diritto per mezo questo trapasso periglioso, l'aira divenne nuvolosa e pioveginosa","Quando la nave fu spinta e si inoltrò in alto mare, per attraversare quel passaggio pericoloso, l’aria si fece nuvolosa e piovosa."
Filippo da Santa Croce,1323,tosc.,"ne salìo in su l'argine del fosso, e in su lo steccato, se da alto si potessero difendere, o per alcuna maniera passare oltre e scampare.","Salirono sull’argine del fossato e sullo steccato, per vedere se dall’alto potessero difendersi o, in qualche modo, superarlo e mettersi in salvo."
Brunetto Latini,1260-61,fior.,"Et se l' occhio è nobile membro del corpo dell' uomo, dunque la salutazione è nobile parte della pistola, c' altressì allumina tutta la lettera come l' occhio allumina l' uomo.","E se l’occhio è un nobile membro del corpo umano, allora anche il saluto è una nobile parte dell’epistola, poiché illumina l’intera lettera così come l’occhio illumina l’uomo."
Bono Giamboni,1292,fior.,"Tarentini, i quali erano nati di quegli di Lacedemonia et facta da lloro nobile cittade de' Greci.","I Tarantini, discendenti degli Lacedemoni, partiti dalla nobile Grecia fondarono la loro città."
Fatti de' Romani (H+R),1313,fior.,"Ulecois, ebe un uomo rico e nobile: Orgentore fue chiamato per nome.",A Ulecois vi fu un uomo ricco e nobile: il suo nome era Orgentore.
Valerio Massimo (red. Va),1336,tosc.,"però che, sse nobile cosa e alta è abatte il nimico, ampoi nonn è meno laudabile sapere avere misiricordia","Poiché, se è cosa nobile e grande abbattere il nemico, non è poi meno degno di lode saper mostrare misericordia."
Bono Giamboni,1292,fior.,"Alexandri, ciò è il genero e 'l figliuolo, da Phausonia, gentile iovane di Macedonia, stando in uno luogo strecto sanza guardia, fue morto.","Alessandro da Phausonia, cioè il genero del figlio, nobile giovane di Macedonia, fu ucciso mentre si trovava in un luogo isolato e senza protezione."
Grazia di Meo,1343,tosc.,"Alchuno è riccho e gentile, ma lamentasi che vorebbe avere altra moglie che quella ch'egli à.","C’è chi è ricco e nobile, ma si lamenta perché vorrebbe un’altra moglie diversa da quella che ha."
Declamazioni di Seneca,1392,tosc.,"pregollo che lo liberasse di quella obbligazione, in che egli l' aveva lasciato ubbligato. El gentile uomo assentì, e liberollo, e fecene carta.","Lo pregò di liberarlo dal'accordo in cui lo avevano vincolato. Il gentiluomo acconsentì, lo liberò e lo mise per inscritto."
Giovanni da San Miniato,1415,tosc.,"L'oro verrà dall'Aquilone. Che figuriamo noi per l'Aquilone, se non il populo Gentile congelato dal freddo del peccato, il qual populo tenne sotto il giogo della sua tirannia","L’oro verrà da settentrione. E cosa rappresentiamo noi con il “settentrione”, se non il popolo pagano irrigidito dal gelo del peccato, quel popolo che fu tenuto sotto il giogo della sua tirannia?"
Prima catilinaria volg. (red. A),1294,fior.,"sia in mezzo tra me e te: con noi non puo' tu già più lungamente dimorare, ch'io non lo sofferrò e non lo lascerò.","Sia messo qualcosa fra me e te: non potrai più restare a lungo con noi, poiché io non lo tollererò e non te lo permetterò."
Ludovico Ariosto,1500,tosc.,"Le donne, i cavallier, l'arme, gli amori, le cortesie, l'audaci imprese io canto,","Canto le donne, i cavalieri, le armi, gli amori, i gesti cortesi e le imprese audaci,"
Ludovico Ariosto,1500,tosc.,Oh gran bontà de' cavallieri antiqui!,"Oh, che grande nobiltà d'animo avevano gli antichi cavalieri!"
Ludovico Ariosto,1500,tosc.,Che 'l senso al nome ben spesso non quadra.,Che il significato non corrisponde spesso al nome.
Ludovico Ariosto,1500,tosc.,Molto più val la pratica che la grammatica.,L'esperienza pratica vale molto di più della teoria (o delle regole rigide).
Ludovico Ariosto,1500,tosc.,Non men che 'l ferro il cuor trafigge amore.,L'amore trafigge il cuore non meno del ferro (di una spada).
Ludovico Ariosto,1500,tosc.,Ogni medaglia ha il suo rovescio.,Ogni situazione ha anche il suo aspetto negativo (o un'altra faccia della medaglia).
Ludovico Ariosto,1500,tosc.,"Quel che più nuoce all'uom non è il non fare, ma il mal fare.","Ciò che nuoce di più all'uomo non è il non agire, ma agire male."
Ludovico Ariosto,1500,tosc.,La ragion vince la forza.,La ragione prevale sulla forza bruta.
Ludovico Ariosto,1500,tosc.,E la ragion con la forza s'accorda.,E la ragione si unisce alla forza.
Ludovico Ariosto,1500,tosc.,Senza la donna non è cosa alcuna intera.,"Senza la donna, nessuna cosa è completa."
